id,nome,teor_col,abv_parsed,classificacao,corpo,docura,harmonizacao_col,harmonizacao_parsed,envelhecimento,temperatura
2330493,Tami Terre Siciliane IGT Frappato 2017,13.0,13.0,IGT,medio,seco,,"carne vermelha, massas",3-5 anos,14-16C
2330533,"Te Pā, The Reserve Collection Auntsfield Chardonnay, 2022",12.5,13.0,,medio,seco,frutos do mar; aves; saladas,"peixe gordo, frango",3-5 anos,10-12C
2330539,Te Pa Oke Sauvignon Blanc - 2018 (),12.5,12.5,,leve,seco,frutos do mar; aves; saladas,"frutos do mar, peixe",beber ja,8-10C
2330543,te Pā Oke Sauvignon Blanc,12.5,12.5,,leve,seco,frutos do mar; aves; saladas,"frutos do mar, peixe",beber ja,8-10C
2330547,Te Merrio MSB Sauvignon Blanc,12.5,12.5,,leve,seco,frutos do mar; aves; saladas,"frutos do mar, peixe",beber ja,8-10C
2330550,"Te Mata, Hawke's Bay, New Zealand, Pinot Noir 2021",13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,5-10 anos,14-16C
2330598,Tamburlaine Preservative Free Pinot Noir,13.5,13.0,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2330610,Tamburlaine Organic Preservative Free Shiraz 2019 (Central Ranges),13.5,13.5,,encorpado,seco,carne vermelha; massas; queijo,carne vermelha,5-8 anos,16-18C
2330601,Te Koko - New Zealand Sauvignon Blanc by Cloudy Bay,12.5,12.5,,leve,seco,frutos do mar; aves; saladas,"frutos do mar, peixe",beber ja,8-10C
2330613,Te KairangaEstate Riesling 2024,12.5,12.0,,leve,seco,frutos do mar; aves; saladas,"frutos do mar, peixe",beber ja,8-10C
2330616,Tamburlaine Organic Preservative Free Pinot Noir 2023,13.5,13.0,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2330617,Tamburlaine Organic Preservative Free Pinot Noir 2022,13.5,13.0,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2330620,Tamburlaine Organic Preservative Free Pinot Noir 2021,13.5,13.0,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2330622,Tamburlaine Organic Preservative Free Cabernet Merlot 2022 (Central Ranges),13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2330677,Tayac-Plaisance Margaux AOC VIgnobles des Quatre Vents,13.0,13.5,AOC Margaux,encorpado,seco,,"carne vermelha, caca",10-15 anos,16-18C
2330707,Tamboerskloof Whole-Bunch Syrah (overgesetsynde) 2023,13.5,13.5,,encorpado,seco,carne vermelha; massas; queijo,carne vermelha,5-8 anos,16-18C
2330710,"Tamboerskloof Syrah, Kleinood 2019",13.5,13.5,,encorpado,seco,carne vermelha; massas; queijo,carne vermelha,5-8 anos,16-18C
2330713,Tamboerskloof Syrah 2020,13.5,13.5,,encorpado,seco,carne vermelha; massas; queijo,carne vermelha,5-8 anos,16-18C
2330738,Tamaya – Carmenere Reserva,13.5,13.5,Reserva,medio,seco,carne vermelha; massas; queijo,carne vermelha,5-8 anos,14-16C
2330744,Tamarisi Tsinandali Wine Dry Georgian Wine,13.0,12.0,DOC,leve,seco,,"peixe, frutos do mar",beber ja,8-10C
2330747,Tamari Special Select Malbec,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,5-8 anos,14-16C
2330725,Te Awanga Wildsong Hawke's Bay Chardonnay 2022 (Volare Black Room),12.5,13.0,,medio,seco,frutos do mar; aves; saladas,"peixe gordo, frango",3-5 anos,10-12C
2330726,Te Awanga Wildsong Hawke's Bay Chardonnay 2021,12.5,13.0,,medio,seco,frutos do mar; aves; saladas,"peixe gordo, frango",3-5 anos,10-12C
2330728,Te Awanga One Off 'Uncensored' Chardonnay 2020,12.5,13.0,,medio,seco,frutos do mar; aves; saladas,"peixe gordo, frango",3-5 anos,10-12C
2330748,Tchotiashvili Kisi Kvervri Amber Wine,13.0,13.0,amber wine,medio,seco,,"carne branca, peixe grelhado",5-8 anos,12-14C
2330758,Tchin On – Vin Blanc Bio Canettes,12.5,12.5,Bio,leve,seco,frutos do mar; aves; saladas,"frutos do mar, peixe",beber ja,8-10C
2330768,"Tamante Sangiovese dell'Umbria IGT Rotwein Wein trocken Italien (6 x 0,)",13.5,13.5,IGT,medio,seco,carne vermelha; massas; queijo,"carne vermelha, massas",3-5 anos,14-16C
2330769,"Tamante Sangiovese dell'Umbria IGT Rotwein Wein trocken Italien (3 x 0,)",13.5,13.5,IGT,medio,seco,carne vermelha; massas; queijo,"carne vermelha, massas",3-5 anos,14-16C
2330773,"Tamante Sangiovese dell'Umbria IGT Rotwein Wein trocken Italien (12 x 0,)",13.5,13.5,IGT,medio,seco,carne vermelha; massas; queijo,"carne vermelha, massas",3-5 anos,14-16C
2330808,Taman uz Rose & Ruže,12.5,12.5,,leve,seco,petiscos; saladas; peixes,frutos vermelhos,beber ja,8-10C
2330810,Tamam Vin Roșu Merlot,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2330813,Tamam Vin Roșu Cabernet Sauvignon,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2330778,"TBA Riesling 1994 FWW 0,375 Liter",12.5,11.5,,medio,seco,frutos do mar; aves; saladas,"frutos do mar, peixe",10-15 anos,8-10C
2330781,TB1 Malbec,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,5-8 anos,14-16C
2330803,Tazem Touriga Nacional Tinto 2020,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,5-8 anos,14-16C
2330806,Tazem Touriga Nacional Tinto 2015 (Magnum ),13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,5-8 anos,14-16C
2330910,Tawhiti Ōwhiro Gamay Pinot Noir 2024,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2337598,Tavoletta di Cioccolato di Modica IGP con Pepe Nero Affumicato Sarawak - Donna Elvira,13.0,13.0,DO,medio,seco,,"carne vermelha, massas",3-5 anos,14-16C
2337607,Tavkveri rose Pheasants tears kakheti,12.5,12.5,,medio,seco,petiscos; saladas; peixes,frutos do mar,beber ja,8-10C
2337613,Tavine Corvina rosé Tenuta la Presa,12.5,12.5,,medio,seco,petiscos; saladas; peixes,"saladas, peixe",beber ja,8-10C
2337616,Tavine Chardonnay Garda DOC 2023,12.5,13.0,DOC,medio,seco,frutos do mar; aves; saladas,"peixe, frutos do mar",3-5 anos,10-12C
2337624,Tavine Chardonnay Garda DOC,12.5,12.5,DOC,medio,seco,frutos do mar; aves; saladas,"peixe, frutos do mar",beber ja,10-12C
2330838,Tamaioasa Romaneasca Sec – DOC,13.0,12.5,DOC,leve,seco,,"frutos do mar, peixe",beber ja,8-10C
2330839,Tamaioasa Romaneasca Eclipse 2021 Dry White Wine,12.5,12.5,,leve,seco,frutos do mar; aves; saladas,"frutos do mar, peixe",beber ja,8-10C
2330841,Tamaioasa Romaneasca Demisec – DOC,13.0,12.5,DOC,leve,seco,,"frutos do mar, peixe",beber ja,8-10C
2330843,Tamaioasa Romaneasca Demidulce – DOC,13.0,12.5,DOC,leve,seco,,"frutos do mar, peixe",beber ja,8-10C
2330921,Taylors Promised Land Chardonnay (),12.5,13.0,,medio,seco,frutos do mar; aves; saladas,"peixe gordo, frango",3-5 anos,10-12C
2330939,Taylors Promised Land Cabernet Sauv,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2330929,"Taltarni Sparkling Shiraz, Pyrenees 2020 (12 bottles)",12.0,13.0,,medio,seco,aperitivos; canapes; frutos do mar,carne vermelha,5-8 anos,14-16C
2330930,Taltarni Sparkling Shiraz 2020,12.0,13.0,,medio,seco,aperitivos; canapes; frutos do mar,carne vermelha,5-8 anos,14-16C
2330998,Talo Chardonnay 2023 fra Feudi di San Marzano – Hvidvin,12.5,13.0,,medio,seco,frutos do mar; aves; saladas,"peixe gordo, frango",3-5 anos,10-12C
2331004,Talmard Macon Chardonnay,12.5,12.5,,leve,seco,frutos do mar; aves; saladas,"frutos do mar, peixe",beber ja,8-10C
2331118,Talha De Argilla Branco I.G.P.,13.0,13.5,,medio,seco,,carne vermelha,3-5 anos,14-16C
2331081,"Talisman - ""Starscape Vineyard"" Pinot Noir 2018, Russian River Valley, CA",13.5,13.0,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2331103,TALINAY CALIZA CHARDONNAY 2023,12.5,13.5,Reserva Blend,medio,seco,frutos do mar; aves; saladas,carne vermelha,5-8 anos,14-16C
2331106,Talinay Cabernet Sauvignon 2022,13.5,12.5,IGP,leve,seco,carne vermelha; massas; queijo,"frutos do mar, peixe",beber ja,8-10C
2331110,Tali Rosso I.G.T Sicilia,13.0,13.5,,medio,seco,,carne vermelha,5-8 anos,14-16C
2331112,Talhão da Serra Reserva,13.0,13.5,,medio,seco,,carne vermelha,5-8 anos,14-16C
2331113,Talha-Mar Reserva Blend 2023,13.0,13.0,,medio,seco,,"peixe gordo, frango",3-5 anos,10-12C
2331115,Talha Wine,13.0,13.5,,medio,seco,,carne vermelha,3-5 anos,14-16C
2331098,Taylor New York Desserts Taylor Marsala,20.0,13.5,,medio,seco,queijos; sobremesas; frutas secas,carne vermelha,5-8 anos,14-16C
2331100,Taylor New York Desserts Taylor Dry Sherry,20.0,13.0,IGT,medio,seco,queijos; sobremesas; frutas secas,"massas, carne vermelha",3-5 anos,14-16C
2331157,Taleiga Tinto,13.5,12.0,Txakoli Rosado,leve,seco,carne vermelha; massas; queijo,"frutos do mar, peixe",beber ja,8-10C
2331159,TALEBIANO VULPES TINTO 2022,13.5,13.5,Reserva,medio,seco,carne vermelha; massas; queijo,carne vermelha,5-8 anos,14-16C
2331160,TALEBIANO CABALLUS TINTO 2022,13.5,12.5,,leve,seco,carne vermelha; massas; queijo,"frutos do mar, peixe",beber ja,8-10C
2331161,TALEBIANO ARIES TINTO 2022,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2331162,Talayón Brut Chardonnay,12.0,14.0,Premium Primari,encorpado,seco,aperitivos; canapes; frutos do mar,"carne vermelha, caça",5-8 anos,16-18C
2331171,Такун Карменер Ресерва / Takun Carmenere Reserva,13.5,12.5,,leve,seco,carne vermelha; massas; queijo,frutos vermelhos,beber ja,8-10C
2331172,"Tako (Kisi light) '22, Château Khashmi",13.0,13.5,Primarius,medio,seco,,carne vermelha,5-8 anos,14-16C
2349044,Scapa 16 years,,13.0,PDO Santorini,medio,seco,,"peixe, mariscos",5-10 anos,10-12C
2331196,TakealotNOW brings the Constantia Wine Route to th,13.0,13.5,Reserve,medio,seco,,carne vermelha,5-8 anos,14-16C
2331216,Takara Umeshu (Plum wine) / 紀州みなべ南高梅梅酒,13.0,13.5,,medio,seco,,carne vermelha,3-5 anos,14-16C
2331221,Takara Plum Wine,13.0,12.0,Extra Brut,leve,extra brut,,"aperitivo, frutos do mar",beber ja,6-8C
2331222,TAKAR WHITE WINE DRY KANGUN ARMENIAN 2022,12.5,12.5,Dry,leve,seco,frutos do mar; aves; saladas,"frutos do mar, peixe",beber ja,8-10C
2331243,Takahiro K Waipara Pinot Noir 2023,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2331259,Taka K Pearson Estate Pinot Noir 2022,13.5,12.0,Brut,leve,brut,carne vermelha; massas; queijo,"aperitivo, frutos do mar",beber ja,6-8C
2331261,TAK Merlot,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2351034,Riesling Steinbügel bio 2018,,,Queijo,,,,,,
2331265,Tajska Panierka do Bananów w Cieście,13.0,12.5,Champagne AOC,medio,brut,,"aperitivo, frutos do mar",beber ja,6-8C
2331267,Tajska Mieszanka Przypraw do Kao Soi,13.0,12.5,,leve,seco,,frutos vermelhos,beber ja,8-10C
2331269,„Tajad“ Brut,12.0,12.5,,leve,seco,aperitivos; canapes; frutos do mar,frutos vermelhos,beber ja,8-10C
2331270,Taja Bodega Serie Monastrell Cabernet Blend,13.5,13.5,IGP,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2331271,TAJA - Bio - Wine,13.0,12.5,IGP,leve,seco,,"frutos do mar, peixe",beber ja,8-10C
2331275,Taitttinger Brut Reserve NV,12.0,12.5,DOC,leve,seco,aperitivos; canapes; frutos do mar,"frutos do mar, peixe",beber ja,8-10C
2331288,Tais Rosé Pinot Noir,12.5,12.5,DOC,leve,seco,petiscos; saladas; peixes,"frutos do mar, peixe",beber ja,8-10C
2331289,Tais Pinot Noir Rosé 2022,12.5,13.5,,medio,seco,petiscos; saladas; peixes,carne vermelha,3-5 anos,14-16C
2331290,T’Air d’Oc Syrah 2024 Domaine Gayda,13.5,12.5,DOC,leve,seco,carne vermelha; massas; queijo,"frutos do mar, peixe",beber ja,8-10C
2331293,Tainic Șarba DOC – sec,13.0,12.5,,leve,seco,,frutos vermelhos,beber ja,8-10C
2331314,"Tahbilk, Nagambie Lakes, Cabernet Sauvignon 2019",13.5,12.0,Spumante Brut,leve,brut,carne vermelha; massas; queijo,"aperitivo, frutos do mar",beber ja,6-8C
2331316,"Tagua Tagua Villa Di Conco,vinho Tinto Gran Reserva Carménère 2018",13.5,12.0,,leve,seco,carne vermelha; massas; queijo,frutos vermelhos,beber ja,8-10C
2331317,"Tagua Tagua, Seleccion Merlot 2023",13.5,12.0,Brut,leve,brut,carne vermelha; massas; queijo,"aperitivo, frutos do mar",beber ja,6-8C
2331342,Tafelstuck Dienheimer Riesling Spatleser 1959,12.5,,spatlese,medio,doce,frutos do mar; aves; saladas,sobremesa,10-20 anos,8-10C
2331344,Tact – Pannon Chardonnay,12.5,13.0,,medio,seco,frutos do mar; aves; saladas,"carne branca, queijo",5-10 anos,10-12C
2331347,Tacito Nugnes Red wine .,13.5,13.0,IGT,medio,seco,carne vermelha; massas; queijo,"massas, carne vermelha",3-5 anos,14-16C
2331370,Tabu Vin Rosé Demisec,12.5,12.5,,leve,demi-sec,petiscos; saladas; peixes,"aperitivo, saladas",beber ja,8-10C
2331371,Tabu Vin Rosé Demidulce,12.5,12.5,,leve,demi-sec,petiscos; saladas; peixes,"aperitivo, saladas",beber ja,8-10C
2331372,Tabor Har Merlot - Kosher Dry Israeli Red Wine,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
